bv_n100.qasm	100	299	102	2	
rand_cliff_20_GD.qasm	20	430	168	2	208	41.93025732040405	0.11594200134277344	0.14749836921691895	0.0
rand_cliff_18_AG.qasm	18	377	276	2	118	33.15808463096619	0.2188732624053955	0.14931964874267578	0.0
cx_h35_280_0.qasm	35	315	39	2	191	19.670010566711426	0.1392195224761963	0.14788484573364258	0.0
cx_h30_240_0.qasm	30	270	29	2	162	14.76417875289917	0.1617448329925537	0.14388298988342285	0.0
rand_cliff_17_AG.qasm	17	354	273	2	92	16.345748901367188	0.1488337516784668	0.11742234230041504	0.0
rand_cliff_18_GD.qasm	18	366	137	2	193	41.603604555130005	0.14459848403930664	0.1601579189300537	1.5345910722478658e-33
rand_cliff_16_AG.qasm	16	296	230	2	95	15.516265630722046	0.3162963390350342	0.17715239524841309	0.0
rand_cliff_15_AG.qasm	15	263	194	2	92	9.927342176437378	0.18694758415222168	0.18714642524719238	2.1091249705057697e-22
rand_cliff_17_GD.qasm	17	311	133	2	152	21.431286573410034	0.14337468147277832	0.21930670738220215	2.0114192102167345e-28
cx_h40_320_0.qasm	40	360	34	2	204	25.76039981842041	0.18734073638916016	0.17400240898132324	0.0
cx_h25_200_0.qasm	25	225	41	2	127	16.020923376083374	0.2250821590423584	0.17511320114135742	0.0
rand_cliff_16_GD.qasm	16	281	109	2	149	15.470537662506104	0.18683075904846191	0.1751847267150879	5.73282757234357e-32
rand_cliff_15_GD.qasm	15	256	110	2	138	10.365203142166138	0.22523212432861328	0.18787837028503418	4.586262057874865e-31
cx_h45_360_0.qasm	45	405	31	2	242	44.380173206329346	0.23512625694274902	0.21440958976745605	0.0
rand_cliff_20_AD.qasm	20	461	357	2	139	54.37348771095276	0.19736456871032715	0.2188889980316162	0.0
rand_cliff_19_GD.qasm	19	404	136	2	210	84.84976506233215	0.21749401092529297	0.1986536979675293	5.3391117345015744e-42
cx_h20_160_0.qasm	20	180	35	2	99	4.5903496742248535	0.19362354278564453	0.13216185569763184	0.0
rand_cliff_19_AG.qasm	19	436	338	2	117	46.52295279502869	0.27817273139953613	0.27397775650024414	0.0
cx_h50_400_0.qasm	50	450	32	2	259	735.1873936653137	0.3653090000152588	0.46428704261779785	0.0

rand_cliff_20_GD.qasm	20	430	168	2	27	6.4286789894104	0.14433670043945312	0.13547730445861816	0.0
rand_cliff_18_AG.qasm	18	377	276	2	11	1.6618776321411133	0.15254688262939453	0.1758289337158203	0.0
rand_cliff_17_AG.qasm	17	354	273	2	10	1.8985493183135986	0.1613306999206543	0.18274259567260742	0.0
rand_cliff_18_GD.qasm	18	366	137	2	28	3.421475648880005	0.14252090454101562	0.14916014671325684	1.5345910722478716e-33
rand_cliff_16_AG.qasm	16	296	230	2	2	0.7048089504241943	0.14049100875854492	0.1709122657775879	0.0
rand_cliff_15_AG.qasm	15	263	194	2	8	1.1261742115020752	0.2018895149230957	0.1528005599975586	2.1091249705057697e-22
rand_cliff_17_GD.qasm	17	311	133	2	21	2.4234464168548584	0.18080782890319824	0.1783742904663086	2.0114192102167388e-28
rand_cliff_16_GD.qasm	16	281	109	2	2	1.2161822319030762	0.1722414493560791	0.21306633949279785	5.73282757234362e-32
rand_cliff_15_GD.qasm	15	256	110	2	18	1.746943473815918	0.19513249397277832	0.18169426918029785	4.5862620578748766e-31
rand_cliff_20_AD.qasm	20	461	357	2	13	3.1035428047180176	0.16573786735534668	0.14363622665405273	0.0
rand_cliff_19_GD.qasm	19	404	136	2	33	5.897647142410278	0.1363372802734375	0.2514324188232422	5.3391117345015955e-42
rand_cliff_19_AG.qasm	19	436	338	2	10	2.7263128757476807	0.18930292129516602	0.20357918739318848	0.0
rand_cliff_20_GD.qasm	20	430	168	2	rand_cliff_20_GD.qasm	20	430	168	2	35	5.804934501647949	0.04271435737609863	0.040877580642700195	1.6684724170317462e-42
rand_cliff_18_AG.qasm	18	377	276	2	2	0.3224482536315918	0.0446932315826416	0.03940439224243164	0.0
rand_cliff_17_AG.qasm	17	354	273	2	2	0.29564428329467773	0.04497122764587402	0.040450334548950195	0.0
rand_cliff_18_GD.qasm	18	366	137	2	37	4.343114614486694	0.06322932243347168	0.04274892807006836	1.534590217990028e-33
rand_cliff_16_AG.qasm	16	296	230	2	2	0.2743234634399414	0.047989606857299805	0.04319882392883301	0.0
rand_cliff_15_AG.qasm	15	263	194	2	2	0.23575782775878906	0.05057787895202637	0.04829859733581543	0.0
rand_cliff_17_GD.qasm	17	311	133	2	30	2.2295751571655273	0.05573225021362305	0.051595449447631836	4.022837076802007e-27
rand_cliff_16_GD.qasm	16	281	109	2	
