
adder_n76.qasm	76	625	163	2	1.4313099384307861	0.13812226381198778	
adder_n16.qasm	16	125	43	2	0.12110543251037598	0.6723647253946813	
adder_n97.qasm	97	800	205	2	1.9950580596923828	0.0793079193494026	
adder_n49.qasm	49	400	109	2	0.5281002521514893	0.2814804998875126	
adder_n7.qasm	7	50	25	2	0.0447537899017334	0.8528908902342347	
adder_n22.qasm	22	175	55	2	0.18054413795471191	0.574284977950256	
adder_n37.qasm	37	300	85	2	0.4107191562652588	0.3866020840224183	
adder_n46.qasm	46	375	103	2	0.4687495231628418	0.3047724005931831	
adder_n91.qasm	91	750	193	2	1.7432785034179688	0.09294865756465799	
adder_n28.qasm	28	225	67	2	0.23804450035095215	0.4901408023803368	
adder_n19.qasm	19	150	49	2	0.14357233047485352	0.6212907023489354	
adder_n31.qasm	31	250	73	2	0.2724010944366455	0.45260458320796715	
adder_n100.qasm	100	825	211	2	1.9882516860961914	0.07327725621042395	
adder_n40.qasm	40	325	91	2	0.3870728015899658	0.3570630776609616	
adder_n82.qasm	82	675	175	2	1.4774608612060547	0.11786831741797223	
adder_n10.qasm	10	75	31	2	0.06578946113586426	0.7876570110744329	
adder_n94.qasm	94	775	199	2	1.8377718925476074	0.08586396715149967	
adder_n34.qasm	34	275	79	2	0.30773496627807617	0.41811620151711715	
adder_n52.qasm	52	425	115	2	0.5591740608215332	0.26009000590931836	
adder_n85.qasm	85	700	181	2	1.5776877403259277	0.10889044316400336	
adder_n13.qasm	13	100	37	2	0.08564949035644531	0.7283521783442916	
adder_n73.qasm	73	600	157	2	1.277989387512207	0.14942769110914822	
adder_n88.qasm	88	725	187	2	1.65073823928833	0.10057336075050632	
adder_n64.qasm	64	525	139	2	0.956716775894165	0.18944700601684183	
adder_n70.qasm	70	575	151	2	1.1952910423278809	0.16178404896584173	
adder_n55.qasm	55	450	121	2	0.6127166748046875	0.24041206917148839	
adder_n79.qasm	79	650	169	2	1.413445234298706	0.12754451239473782	
adder_n4.qasm	4	25	19	2	0.021860599517822266	0.9229556529787754	
adder_n25.qasm	25	200	61	2	0.20185256004333496	0.5305245815415325	
adder_n61.qasm	61	500	133	2	0.895266056060791	0.20511952066761177	
adder_n67.qasm	67	550	145	2	1.13761305809021	0.17511379273234987	
adder_n58.qasm	58	475	127	2	0.6606380939483643	0.22217314997070475	
adder_n43.qasm	43	350	97	2	0.4273507595062256	0.32988326926645045	
