-0.200000	-0.238356	
0	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2	0.0000	0.0000	0.0002	0.9998	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3	0.0000	-0.0000	0.9998	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
4	0.0000	0.0000	0.0000	-0.0000	0.0139	0.0002	0.9723	0.0136	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
5	0.0000	-0.0000	0.0000	0.0000	0.0002	0.0139	0.0136	0.9723	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6	0.0000	0.0000	0.0000	0.0000	0.9611	0.0247	0.0138	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
7	0.0000	0.0000	-0.0000	0.0000	0.0247	0.9611	0.0004	0.0138	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0141	0.0002	0.9582	0.0000	0.0000	0.0137	0.0137	0.0000	
9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0141	0.0000	0.9582	0.0137	0.0000	-0.0000	0.0137	
10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9547	0.0035	0.0143	0.0001	0.0137	0.0001	0.0136	0.0002	
11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0035	0.9547	0.0001	0.0143	0.0001	0.0137	0.0002	0.0136	
12	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0137	0.0137	0.0001	0.0267	0.9456	0.0002	0.0000	
13	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0137	0.0001	0.0001	0.0137	0.9456	0.0267	0.0000	0.0002	
14	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0136	0.0001	0.0134	0.0003	0.0002	0.0000	0.9479	0.0244	
