cx_h35_280_0.qasm	35	315	30	2	2	5.111272096633911	5.455305337905884	0j
cx_h30_240_0.qasm	30	270	30	2	2	1.7413287162780762	2.090869665145874	0j
cx_h40_320_0.qasm	40	360	35	2	2	77.31719732284546	77.84947490692139	0j
cx_h45_360_0.qasm	45	405	33	2	2	132.42935180664062	132.96653962135315	0j
cx_h50_400_0.qasm	50	450	33	2	2	366.6569437980652	367.34180903434753	(-7.941987779405355e-11+0j)
cx_h70_320_0.qasm	70	390	19	2	2	11.84557032585144	12.275012254714966	0j
cx_h75_320_0.qasm	75	395	18	2	2	6.382507562637329	6.7982800006866455	0j
cx_h60_320_0.qasm	60	380	29	2	2	37.807331562042236	38.18177366256714	0j
cx_h55_320_0.qasm	55	375	25	2	2	17.135676383972168	17.513318061828613	0j
cx_h80_320_0.qasm	80	400	21	2	2	11.057406663894653	11.584031105041504	0j
cx_h25_320_0.qasm	25	345	46	2	2	18.873499155044556	19.266968250274658	(-0.00048714257812499913+0j)
cx_h40_320_0.qasm	40	360	32	2	2	37.54532814025879	38.00633645057678	0j
cx_h65_320_0.qasm	65	385	22	2	2	13.330724239349365	13.88627576828003	0j
cx_h45_320_0.qasm	45	365	32	2	2	14.951367378234863	15.390557289123535	0j
cx_h50_320_0.qasm	50	370	27	2	2	52.076642990112305	52.590423583984375	0j
cx_h20_320_0.qasm	20	340	60	2	2	3.4382450580596924	3.995342493057251	0j
cx_h35_320_0.qasm	35	355	40	2	2	118.37560033798218	119.03014945983887	(-7.185869083713371e-09+0j)
cx_h30_320_0.qasm	30	350	37	2	2	15.443024158477783	16.096530199050903	0j
cx_h70_320_0.qasm	70	390	23	2	2	3.7486250400543213	4.106634616851807	0j
cx_h75_320_0.qasm	75	395	24	2	2	2.43163800239563	2.815053939819336	0j
cx_h60_320_0.qasm	60	380	23	2	2	3.812852621078491	4.201703786849976	0j
cx_h55_320_0.qasm	55	375	24	2	2	37.613699197769165	38.046725273132324	0j
cx_h80_320_0.qasm	80	400	24	2	2	6.857708215713501	7.325777769088745	0j
cx_h25_320_0.qasm	25	345	50	2	2	11.876960754394531	12.384880542755127	0j
cx_h40_320_0.qasm	40	360	37	2	2	11.941484928131104	12.42762541770935	0j
cx_h65_320_0.qasm	65	385	23	2	2	25.519531726837158	26.039419651031494	0j
cx_h45_320_0.qasm	45	365	34	2	2	1251.1600096225739	1251.6672444343567	0j
cx_h50_320_0.qasm	50	370	26	2	2	59.14846062660217	60.04284381866455	0j
cx_h20_320_0.qasm	20	340	59	2	2	2.747190237045288	3.6600916385650635	(0.0019492204861111082+0j)
cx_h35_320_0.qasm	35	355	41	2	2	35.41240859031677	36.35336136817932	0j
cx_h30_320_0.qasm	30	350	41	2	2	46.44195771217346	47.24160623550415	0j
